country,vaccine,doses
Spain,AstraZeneca,10386700
Spain,Janssen,2290200
Spain,Moderna,6651600
Spain,Pfizer/BioNTech,41098895
Sri Lanka,AstraZeneca,728460
Sri Lanka,Sputnik V,130000
Sri Lanka,Moderna,1500100
Sri Lanka,Pfizer/BioNTech,285400
Sri Lanka,Covishield,1264000
Sri Lanka,Sinopharm,5100000
Sri Lanka,Unknown,5749738
Sudan,Janssen,606700
Sudan,Covishield,828000
Sudan,Sinopharm,250000
Suriname,AstraZeneca,52800
Suriname,Covishield,51000
Suriname,Unknown,210398
Sweden,AstraZeneca,1613700
Sweden,Moderna,1359600
Sweden,Pfizer/BioNTech,8749065
Switzerland,Unknown,9086296
Syrian Arab Republic,Sputnik V,5000
Syrian Arab Republic,Covishield,256800
Syrian Arab Republic,Sinopharm,150000
Taiwan,AstraZeneca,3949600
Taiwan,Moderna,3650000
Taiwan,Unknown,887797
Taiwan,Vaxzevria,1302500
Tajikistan,AstraZeneca,128640
Tajikistan,Moderna,1500100
Tajikistan,Covishield,192000
Thailand,AstraZeneca,1917000
Thailand,Sinopharm,3000000
Thailand,Sinovac,4500000
Thailand,Unknown,10215537
The republic of the Congo,Sinopharm,100000
The republic of the Congo,Unknown,98698
Timor-Leste,AstraZeneca,144800
Timor-Leste,Sinovac,100000
Timor-Leste,Unknown,258962
Togo,Pfizer/BioNTech,100620
Togo,Covishield,326000
Togo,Sinovac,200000
Tonga,AstraZeneca,48000
Trinidad and Tobago,AstraZeneca,67200
Trinidad and Tobago,Pfizer/BioNTech,480
Trinidad and Tobago,Covishield,40000
Trinidad and Tobago,Sinopharm,1100000
Trinidad and Tobago,Vaxzevria,35000
Tunisia,AstraZeneca,580800
Tunisia,Sputnik V,30000
Tunisia,Moderna,1000020
Tunisia,Pfizer/BioNTech,1037538
Tunisia,Sinovac,150000
Tunisia,Unknown,1099046
Turkey,Pfizer/BioNTech,4500000
Turkey,Sinovac,25000000
Turkey,Unknown,46529390
Turkmenistan,Unknown,41993
Turks and Caicos Islands,Unknown,47263
Tuvalu,AstraZeneca,9600
Uganda,AstraZeneca,461280
Uganda,Covishield,964000
Ukraine,AstraZeneca,1180800
Ukraine,Janssen,500
Ukraine,Moderna,2000040
Ukraine,Pfizer/BioNTech,1348390
Ukraine,Covishield,500000
Ukraine,Sinovac,2400000
United Arab Emirates,Covishield,200000
United Arab Emirates,Sinopharm,3000000
United Arab Emirates,Unknown,13913003
United Kingdom,Pfizer/BioNTech,1539370
United Kingdom,Covishield,5000000
United Kingdom,Unknown,80466264
United Republic of Tanzania,Janssen,1058450
United States of America,Janssen,21484400
United States of America,Moderna,164633380
United States of America,Pfizer/BioNTech,212952975
Uruguay,AstraZeneca,98400
Uruguay,Pfizer/BioNTech,550000
Uruguay,Sinovac,1750000
Uruguay,Unknown,2582131
Uzbekistan,Anhui ZL,4500000
Uzbekistan,Sputnik V,330000
Uzbekistan,Moderna,3000060
Uzbekistan,Covishield,660000
Uzbekistan,Vaxzevria,50000
Vanuatu,AstraZeneca,24000
Venezuela,Sputnik V,880000
Venezuela,Sinopharm,500000
Venezuela,Unknown,2620000
Viet Nam,AstraZeneca,10311500
Viet Nam,Sputnik V,2000
Viet Nam,Moderna,5000100
Viet Nam,Pfizer/BioNTech,97111
Viet Nam,Sinopharm,500000
Wallis and Futuna,Unknown,9372
West Bank and Gaza,AstraZeneca,168000
West Bank and Gaza,Sputnik V,22000
West Bank and Gaza,Moderna,2000
West Bank and Gaza,Pfizer/BioNTech,140400
West Bank and Gaza,Covishield,25000
West Bank and Gaza,Sinopharm,100000
West Bank and Gaza,Unknown,877500
Yemen,Covishield,360000
Zambia,AstraZeneca,228000
Zimbabwe,Janssen,302400
Zimbabwe,Covishield,228000
Zimbabwe,Sputnik V,50000
Zimbabwe,Covishield,35000
Zimbabwe,Sinopharm,1044000
Zimbabwe,Sinovac,4200000
